Classifier,Data Set,Accuracy,Precision,Recall,F1

RandomForestClassifier(),tdm,0.8870000000000001,0.8885485790725852,0.8870000000000001,0.8870011779744518

RandomForestClassifier(),tf-idf,0.88975,0.8906356552630126,0.88975,0.8897914502248467

XGBClassifier,tdm,0.9345000000000001,0.9351037090985429,0.9345000000000001,0.9344891644291714

XGBClassifier,tf-idf,0.9342499999999999,0.9351645962478697,0.9342499999999999,0.9342269751077966

